"HHID","prcid","pltid","a3aq40a","a3aq40b","a3aq40c","line","PID","female","cropID","a4aq8","a5aq8","yield","lnvalue","lnarea","year"
1013000204,21,1,1,2,NA,1,101300020401,0,630,0.5,0,0,0,0.405465108108164,2010
1013000204,21,1,1,2,NA,1,101300020401,0,130,0.5,0,0,0,0.405465108108164,2010
1013000204,21,1,1,2,NA,1,101300020401,0,620,0.5,0,0,0,0.405465108108164,2010
1021000108,1,1,1,NA,NA,1,102100010801,0,741,0.5,0,0,0,0.405465108108164,2010
1021000807,1,1,1,NA,NA,1,102100080701,0,630,1,0,0,0,0.693147180559945,2010
1021000807,21,1,1,NA,NA,1,102100080701,0,741,1,0,0,0,0.693147180559945,2010
1021000807,1,2,1,NA,NA,1,102100080701,0,810,2,0,0,0,1.09861228866811,2010
102100080803,2,1,1,2,3,1,10210008080301,1,130,0.550000011920929,30000,54545.4533632137,10.3089859934221,0.438254938622077,2010
102100080803,2,1,1,2,3,1,10210008080301,1,340,0.5,0,0,0,0.405465108108164,2010
102100080803,2,1,1,2,3,1,10210008080301,1,210,0.5,0,0,0,0.405465108108164,2010
102100080803,21,1,1,2,3,1,10210008080301,1,630,0.5,60000,120000,11.002116507732,0.405465108108164,2010
102100080803,21,1,1,2,3,1,10210008080301,1,130,0.5,20000,40000,9.90353755128617,0.405465108108164,2010
102100080803,1,2,1,2,3,1,10210008080301,1,620,0.25,0,0,0,0.22314355131421,2010
102100080803,1,1,1,3,2,1,10210008080301,1,741,0.5,0,0,0,0.405465108108164,2010
102100080803,1,1,1,3,2,1,10210008080301,1,810,0.5,19600,39200,9.88333586432528,0.405465108108164,2010
102100080803,2,2,1,2,3,1,10210008080301,1,620,0.25,0,0,0,0.22314355131421,2010
1021001107,1,3,2,NA,NA,2,102100110702,1,630,1,0,0,0,0.693147180559945,2010
1021001107,1,1,1,2,NA,1,102100110701,0,130,1,160000,160000,11.9829353441964,0.693147180559945,2010
1021001107,1,2,1,2,NA,1,102100110701,0,620,0.5,0,0,0,0.405465108108164,2010
1021001109,2,1,1,2,3,1,102100110901,1,620,1,0,0,0,0.693147180559945,2010
1021001109,2,1,1,2,3,1,102100110901,1,510,1,0,0,0,0.693147180559945,2010
1021001109,1,1,1,12,NA,1,102100110901,1,741,4,0,0,0,1.6094379124341,2010
1021001109,1,1,1,12,NA,1,102100110901,1,210,4,0,0,0,1.6094379124341,2010
1021001109,1,1,1,12,NA,1,102100110901,1,630,4,0,0,0,1.6094379124341,2010
1021001109,1,1,1,12,NA,1,102100110901,1,130,4,0,0,0,1.6094379124341,2010
1021001109,1,1,1,12,NA,1,102100110901,1,510,4,0,0,0,1.6094379124341,2010
1021001109,1,1,1,12,NA,1,102100110901,1,620,4,0,0,0,1.6094379124341,2010
1021001907,21,1,2,3,4,2,102100190702,1,620,0.5,0,0,0,0.405465108108164,2010
1021001907,21,1,2,3,4,2,102100190702,1,130,0.5,0,0,0,0.405465108108164,2010
1021001907,21,1,2,3,4,2,102100190702,1,210,0.5,0,0,0,0.405465108108164,2010
1021002610,1,3,1,2,NA,1,102100261001,1,640,0.5,0,0,0,0.405465108108164,2010
1021002610,1,3,1,2,NA,1,102100261001,1,130,0.5,0,0,0,0.405465108108164,2010
1021002610,1,1,1,2,NA,1,102100261001,1,510,0.25,6000,24000,8.69968140098951,0.22314355131421,2010
1021002610,1,2,1,2,NA,1,102100261001,1,620,0.25,0,0,0,0.22314355131421,2010
1021002610,21,1,1,NA,NA,1,102100261001,1,640,0.5,0,0,0,0.405465108108164,2010
1021002610,1,4,1,2,NA,1,102100261001,1,630,0.5,0,0,0,0.405465108108164,2010
1021002610,1,4,1,2,NA,1,102100261001,1,741,0.5,0,0,0,0.405465108108164,2010
1021002611,1,1,1,3,5,1,102100261101,0,130,0.699999988079071,30000,42857.1435869957,10.3089859934221,0.530628244049859,2010
1021002611,1,1,1,3,5,1,102100261101,0,741,0.699999988079071,0,0,0,0.530628244049859,2010
1021002611,1,2,1,3,5,1,102100261101,0,620,0.300000011920929,0,0,0,0.262364273637436,2010
1021002804,21,1,1,NA,NA,1,102100280401,0,410,0.5,350000,700000,12.7656912906044,0.405465108108164,2010
1021002804,21,2,1,NA,NA,1,102100280401,0,640,1,0,0,0,0.693147180559945,2010
1021002804,21,2,1,NA,NA,1,102100280401,0,620,1,350000,350000,12.7656912906044,0.693147180559945,2010
1021002810,1,1,1,5,6,1,102100281001,1,630,0.5,0,0,0,0.405465108108164,2010
