"HHID","parcelID","pltid","PID","female","cropID","s4aq07","s5aq08_1","yield","lnvalue","lnarea"
"00bbd034f88649bc980b091d4a5af645",1,1,1,1,630,0.5,0,0,0,0.405465108108164
"00bbd034f88649bc980b091d4a5af645",1,1,1,1,810,0.5,187500,375000,12.1415394577117,0.405465108108164
"00bbd034f88649bc980b091d4a5af645",1,2,1,1,741,0.5,0,0,0,0.405465108108164
"00bbd034f88649bc980b091d4a5af645",1,3,1,1,130,0.25,0,0,0,0.22314355131421
"00bbd034f88649bc980b091d4a5af645",1,3,1,1,210,0.25,0,0,0,0.22314355131421
"00bbd034f88649bc980b091d4a5af645",1,4,1,1,620,0.25,0,0,0,0.22314355131421
"00c9353d8ebe42faabf5919b81d7fae7",1,0,4,1,130,1,0,0,0,0.693147180559945
"00c9353d8ebe42faabf5919b81d7fae7",1,0,4,1,630,1,0,0,0,0.693147180559945
"00c9353d8ebe42faabf5919b81d7fae7",2,1,4,1,210,0.25,0,0,0,0.22314355131421
"00c9353d8ebe42faabf5919b81d7fae7",2,2,4,1,130,0.75,80000,106666.666666667,11.2897944135779,0.559615787935423
"00c9353d8ebe42faabf5919b81d7fae7",2,2,4,1,320,0.75,15000,20000,9.61587214452889,0.559615787935423
"00db391b5a9a4ef0954f50f148069c46",1,2,1,1,620,0.2,0,0,0,0.182321556793955
"00db391b5a9a4ef0954f50f148069c46",2,1,2,0,130,1,0,0,0,0.693147180559945
"00db391b5a9a4ef0954f50f148069c46",2,1,2,0,320,1,260000,260000,12.4684407561441,0.693147180559945
"00e23121bad94719bff27f93646437b3",1,1,1,0,440,0.07,54000,771428.571428571,10.8967578438935,0.0676586484738149
"00e23121bad94719bff27f93646437b3",1,2,1,0,130,0.06,0,0,0,0.0582689081239758
"00e23121bad94719bff27f93646437b3",3,1,1,0,630,0.5,48000,96000,10.7789771230064,0.405465108108164
"00f1eb71d428408f888b058a8e8664fe",1,1,2,1,741,1.08,300000,277777.777777778,12.6115410869661,0.732367893713227
"00f1eb71d428408f888b058a8e8664fe",1,2,1,0,310,0.34,0,0,0,0.29266961396282
"00f1eb71d428408f888b058a8e8664fe",1,3,1,0,130,0.82,0,0,0,0.598836501088704
